,EmpID,Name,Department,City,Age,Salary,Performance,Bonus,Tax,Net Salary,Performance Grade,Salary Category,Experience Bonus,Final Salary
0,101,Rahul,IT,Ahmedabad,24.0,50000.0,5,5000.0,2500.0,52500.0,Excellent,Normal,2000,54500.0
1,102,Neha,HR,Surat,28.333333333333332,62000.0,4,6200.0,3100.0,65100.0,Very Good,High,5000,70100.0
3,104,Priya,Finance,Vadodara,31.0,75000.0,5,7500.0,3750.0,78750.0,Excellent,High,5000,83750.0
2,103,Amit,Sales,Rajkot,28.0,63000.0,3,6300.0,3150.0,66150.0,Good,High,5000,71150.0
3,104,Priya,Finance,Vadodara,31.0,75000.0,5,7500.0,3750.0,78750.0,Excellent,High,5000,83750.0
4,105,Manthan,IT,Ahmedabad,25.0,58000.0,2,5800.0,2900.0,60900.0,Average,Normal,2000,62900.0
5,106,Karan,HR,Surat,30.0,61000.0,4,6100.0,3050.0,64050.0,Very Good,High,5000,69050.0
6,107,Riya,Marketing,Ahmedabad,28.333333333333332,47000.0,3,4700.0,2350.0,49350.0,Good,Normal,5000,54350.0
4,105,Manthan,IT,Ahmedabad,25.0,58000.0,2,5800.0,2900.0,60900.0,Average,Normal,2000,62900.0
7,108,Sneha,Sales,Rajkot,29.0,63000.0,5,6300.0,3150.0,66150.0,Excellent,High,5000,71150.0
8,109,Vikas,Finance,Vadodara,26.0,72000.0,4,7200.0,3600.0,75600.0,Very Good,High,5000,80600.0
9,110,Aastha,IT,Ahmedabad,27.0,66000.0,5,6600.0,3300.0,69300.0,Excellent,High,5000,74300.0
10,111,Jay,Marketing,Surat,32.0,52000.0,2,5200.0,2600.0,54600.0,Average,Normal,5000,59600.0
11,112,Khushbu,HR,Ahmedabad,24.0,69000.0,3,6900.0,3450.0,72450.0,Good,High,2000,74450.0
12,113,Tirth,IT,Rajkot,29.0,64000.0,4,6400.0,3200.0,67200.0,Very Good,High,5000,72200.0
13,114,Shukan,Sales,Vadodara,28.333333333333332,71000.0,5,7100.0,3550.0,74550.0,Excellent,High,5000,79550.0
14,115,Harsh,Finance,Ahmedabad,35.0,63000.0,4,6300.0,3150.0,66150.0,Very Good,High,5000,71150.0
12,113,Tirth,IT,Rajkot,29.0,64000.0,4,6400.0,3200.0,67200.0,Very Good,High,5000,72200.0
