,OrderID,Customer,Category,Product,PaymentMode,Quantity,Price,City
0,1001,Alice,Electronics,Laptop,Card,1,65000.0,Delhi
1,1002,Bob,Clothing,T-Shirt,Cash,2,1200.0,Mumbai
2,1003,Charlie,Groceries,Rice,UPI,5,3000.0,Pune
3,1004,Diana,Electronics,Headphones,Card,2,4000.0,Delhi
4,1005,Ethan,Clothing,Jeans,Cash,1,2500.0,Ahmedabad
5,1006,Fiona,Groceries,Milk,UPI,10,600.0,Surat
6,1007,George,Electronics,Mobile,Card,1,35000.0,Jaipur
7,1008,Hannah,Clothing,Jacket,UPI,1,17931.57894736842,Mumbai
8,1009,Ian,Groceries,Wheat,Cash,3,1800.0,Pune
9,1010,Julia,Electronics,Tablet,Card,2,22000.0,Delhi
10,1011,Kevin,Clothing,Shoes,Card,1,3500.0,Ahmedabad
11,1012,Laura,Groceries,Sugar,UPI,4,1800.0,Surat
12,1013,Michael,Electronics,Smartwatch,Cash,1,12000.0,Jaipur
13,1014,Nina,Clothing,Dress,Card,2,5000.0,Mumbai
14,1015,Oscar,Groceries,Oil,Cash,2,17931.57894736842,Pune
15,1016,Paul,Electronics,Laptop,Card,1,65000.0,Delhi
17,1017,Queen,Clothing,T-Shirt,UPI,3,1800.0,Ahmedabad
18,1018,Raj,Groceries,Tea,Cash,5,1500.0,Surat
19,1019,Sneha,Electronics,Camera,Card,1,45000.0,Delhi
20,1020,Tom,Clothing,Jeans,Not Found,2,5000.0,Jaipur
