,employeeid,name,department,city,salary,joiningdate,performance,bonus,final_salary,Performance Grade
0,101,Alice Smith,HR,New York,50000.0,2021-03-15,Excellent,5000.0,55000.0,1
1,102,Bob Jones,IT,London,68500.0,2022-06-01,Good,6850.0,75350.0,2
2,103,Charlie Brown,Finance,New York,75000.0,2020-01-10,Average,7500.0,82500.0,3
3,104,Diana Prince,IT,Paris,85000.0,2023-08-22,Excellent,8500.0,93500.0,1
4,105,Evan Wright,HR,London,48000.0,2021-11-05,Average,4800.0,52800.0,3
5,106,Fiona Gallagher,Finance,Paris,68500.0,2019-04-18,Good,6850.0,75350.0,2
6,107,George Clark,Marketing,New York,60000.0,2022-07-30,Excellent,6000.0,66000.0,1
7,108,Hannah Abbott,Marketing,London,62000.0,2023-02-14,Average,6200.0,68200.0,3
8,109,Ian Malcolm,IT,Paris,95000.0,2020-12-05,Excellent,9500.0,104500.0,1
9,110,Julia Roberts,Finance,New York,110000.0,2024-01-20,Good,11000.0,121000.0,2
