 Employee ID , Employee Name , Department Name , Monthly Salary , Joining Date 
101,Alice Johnson,Sales,55000,12-01-2020
102,Bob Smith,HR,,2021/03/15
103,Charlie Brown,Finance,72000,05-07-2019
104,Diana Prince,IT,85000,2018-11-22
105,Ethan Clark,Sales,61000,14/08/2020
106,Fiona Davis,Marketing,58000,2022-01-18
107,George Miller,Finance,,2019/09/30
108,Hannah Lee,IT,93000,10-10-2017
109,Ian Walker,HR,47000,2023-04-05
110,Julia Adams,Marketing,62000,01/06/2021
111,Kevin White,Sales,59000,2018-02-28
112,Lisa Green,Finance,81000,15-12-2020
113,Michael Scott,HR,52000,07/07/2019
114,Nina Patel,IT,,2021-08-14
115,Oliver King,Marketing,67000,25-05-2018
116,Paula Young,Sales,64000,2022/11/09
117,Quentin Hall,Finance,89000,18/03/2017
118,Rachel Evans,IT,97000,2016-09-01
119,Samuel Carter,HR,50000,30-10-2022
120,Tina Brooks,Marketing,,2020/12/20
