,Customer_ID,Customer_Name,City,Order_ID,Order_Date,Amount,Delivery_Date,Delivery Time,Month Name
0,C101,Amit Patel,Ahmedabad,O001,2024-01-05,2500,2024-01-08,3 days,January
1,C101,Amit Patel,Ahmedabad,O006,2024-03-18,4500,2024-03-22,4 days,March
2,C102,Priya Shah,Surat,O002,2024-01-12,4200,2024-01-15,3 days,January
3,C102,Priya Shah,Surat,O007,2024-04-06,3700,2024-04-10,4 days,April
4,C103,Rahul Mehta,Vadodara,O003,2024-02-08,3100,2024-02-12,4 days,February
5,C103,Rahul Mehta,Vadodara,O008,2024-04-25,6100,2024-04-30,5 days,April
6,C104,Neha Joshi,Rajkot,O004,2024-02-20,5800,2024-02-25,5 days,February
7,C104,Neha Joshi,Rajkot,O009,2024-05-14,2900,2024-05-18,4 days,May
8,C105,Karan Desai,Bhavnagar,O005,2024-03-10,2200,2024-03-15,5 days,March
9,C105,Karan Desai,Bhavnagar,O010,2024-05-28,5300,2024-06-02,5 days,May
