,OrderID,customer_id,ProductID,OrderDate,Quantity,Discount,PaymentMode,customer_name,city,gender,age,Product,Category,Price,Total Amount,Discount Amount,Net Sales,Sales Category,Year,Month Number,Month Name,Day,Day Name,Quarter,Weekend,Day_Type
0,O101,C101,P101,2026-01-05,1,5.0,UPI,Rahul Patel,Ahmedabad,Male,24,Laptop Pro,Electronics,65000.0,65000.0,3250.0,61750.0,High,2026,1,January,5,Monday,1,0,Weekday
1,O106,C106,P101,2026-02-03,1,10.0,Credit Card,Karan Mehta,Surat,Male,30,Laptop Pro,Electronics,65000.0,65000.0,6500.0,58500.0,High,2026,2,February,3,Tuesday,1,1,Weekday
2,O102,C102,P102,2026-01-10,2,10.0,Credit Card,Neha Shah,Surat,Female,28,Smartphone,Electronics,25000.0,50000.0,5000.0,45000.0,Medium,2026,1,January,10,Saturday,1,5,Weekend
3,O108,C108,P102,2026-02-14,2,5.0,UPI,Sneha Joshi,Ahmedabad,Female,29,Smartphone,Electronics,25000.0,50000.0,2500.0,47500.0,Medium,2026,2,February,14,Saturday,1,5,Weekend
4,O103,C103,P103,2026-01-15,3,5.0,Cash,Amit Kumar,Ahmedabad,Male,27,Wireless Headphones,Accessories,3500.0,10500.0,525.0,9975.0,Low,2026,1,January,15,Thursday,1,3,Weekday
5,O107,C107,P103,2026-02-08,4,7.5,UPI,Riya Sharma,Mumbai,Female,27,Wireless Headphones,Accessories,3500.0,14000.0,1050.0,12950.0,Low,2026,2,February,8,Sunday,1,6,Weekend
6,O104,C104,P104,2026-01-20,2,5.0,UPI,Priya Singh,Mumbai,Female,31,Smart Watch,Wearables,8000.0,16000.0,800.0,15200.0,Low,2026,1,January,20,Tuesday,1,1,Weekday
7,O110,C110,P104,2026-02-28,3,15.0,Credit Card,Aastha Shah,Vadodara,Female,26,Smart Watch,Wearables,8000.0,24000.0,3600.0,20400.0,Medium,2026,2,February,28,Saturday,1,5,Weekend
8,O105,C105,P105,2026-01-25,5,0.0,Cash,Manthan Patel,Vadodara,Male,25,Gaming Mouse,Accessories,1500.0,7500.0,0.0,7500.0,Low,2026,1,January,25,Sunday,1,6,Weekend
9,O109,C109,P105,2026-02-21,6,0.0,Cash,Vikas Patel,Unknown,Male,27,Gaming Mouse,Accessories,1500.0,9000.0,0.0,9000.0,Low,2026,2,February,21,Saturday,1,5,Weekend
