Employee_ID,Name  ,Department,City,Salary,Experience (Years),Bonus,Joining_Date
EMP001,Employee 1,HR,London,75000.0,2.0,6268,2023/01/05
EMP002,Employee 2,Sales,Paris,45000.0,15.0,6748,2024-06-03
EMP003,Employee 3,Marketing,New York,60000.0,1.0,6849,2024-07-05
EMP004,Employee 4,Finance,New York,90000.0,,11435,2024-05-10
EMP005,Employee 5,IT Dept,New York,90000.0,10.0,5709,2021-03-17
EMP006,Employee 6,IT Dept,New York,60000.0,10.0,11273,2024-09-14
EMP007,Employee 7,IT Dept,Tokyo,75000.0,3.0,8619,2020-03-13
EMP008,Employee 8,Sales,New York,75000.0,3.0,10647,2024-04-01
EMP009,Employee 9,Finance,Paris,90000.0,7.0,11086,2020-08-02
EMP010,Employee 10,Marketing,Berlin,,,11576,2023-08-07
EMP011,Employee 11,IT Dept,New York,75000.0,15.0,12150,2021/10/02
EMP012,Employee 12,Sales,Tokyo,150000.0,12.0,5072,2025-06-03
EMP013,Employee 13,Sales,Tokyo,75000.0,2.0,8530,2022-02-12
EMP014,Employee 14,IT Dept,New York,130000.0,,12188,2020-06-12
EMP015,Employee 15,IT Dept,Berlin,75000.0,15.0,14477,2024-11-25
EMP016,Employee 16,IT Dept,New York,60000.0,5.0,2504,2020-07-15
EMP017,Employee 17,HR,Tokyo,90000.0,5.0,3214,2024-05-14
EMP018,Employee 18,Finance,London,90000.0,7.0,3531,2021-11-19
EMP019,Employee 19,HR,Paris,130000.0,5.0,13632,2025-12-02
EMP020,Employee 20,IT Dept,Tokyo,60000.0,15.0,9576,2025-02-02
EMP021,Employee 21,Finance,New York,75000.0,15.0,2823,2021/11/19
EMP022,Employee 22,IT Dept,Paris,75000.0,,2928,2021-04-25
EMP023,Employee 23,IT Dept,New York,115000.0,7.0,7029,2025-01-24
EMP024,Employee 24,HR,New York,,10.0,2133,2023-07-10
EMP025,Employee 25,Finance,London,150000.0,7.0,4105,2022-01-05
EMP026,Employee 26,Marketing,Paris,75000.0,5.0,5627,2024-04-10
EMP027,Employee 27,IT Dept,Paris,60000.0,1.0,14972,2020-10-17
EMP028,Employee 28,Finance,London,130000.0,10.0,8316,2023-04-24
EMP029,Employee 29,Finance,Tokyo,90000.0,12.0,3852,2024-02-06
EMP030,Employee 30,IT Dept,New York,150000.0,7.0,6910,2024-02-13
EMP031,Employee 31,Finance,Berlin,60000.0,12.0,6175,2025/11/11
EMP032,Employee 32,IT Dept,New York,75000.0,7.0,13125,2022-03-15
EMP033,Employee 33,IT Dept,New York,75000.0,1.0,13476,2020-07-23
EMP034,Employee 34,Sales,Tokyo,150000.0,2.0,14490,2022-06-16
EMP035,Employee 35,Sales,New York,,1.0,13003,2023-08-04
EMP036,Employee 36,Sales,London,60000.0,3.0,7348,2020-03-03
EMP037,Employee 37,HR,London,45000.0,,11442,2022-02-26
EMP038,Employee 38,IT Dept,Paris,60000.0,5.0,13704,2022-03-21
EMP039,Employee 39,Marketing,Berlin,75000.0,3.0,8190,2024-02-10
EMP040,Employee 40,HR,New York,60000.0,7.0,3256,2024-06-21
EMP041,Employee 41,IT Dept,New York,60000.0,3.0,5376,2025/01/05
EMP042,Employee 42,Finance,Tokyo,115000.0,7.0,7645,2020-12-26
EMP043,Employee 43,IT Dept,London,130000.0,3.0,5486,2025-02-17
EMP044,Employee 44,Sales,Berlin,,2.0,5584,2025-10-13
EMP045,Employee 45,IT Dept,Paris,,5.0,11588,2022-09-26
EMP046,Employee 46,Marketing,London,90000.0,7.0,13829,2020-09-22
EMP047,Employee 47,HR,Paris,60000.0,3.0,10053,2025-11-16
EMP048,Employee 48,Finance,Tokyo,60000.0,15.0,5330,2024-01-26
EMP049,Employee 49,Finance,Tokyo,60000.0,,4703,2023-01-08
EMP050,Employee 50,IT Dept,New York,60000.0,3.0,10662,2020-03-20
EMP051,Employee 51,Sales,Berlin,115000.0,15.0,10120,2025/10/23
EMP052,Employee 52,Marketing,Paris,45000.0,5.0,9114,2025-08-02
EMP053,Employee 53,Sales,London,90000.0,3.0,3353,2024-10-14
EMP054,Employee 54,Sales,Tokyo,75000.0,5.0,12975,2022-08-19
EMP055,Employee 55,Finance,New York,60000.0,5.0,13023,2022-07-14
EMP056,Employee 56,Sales,New York,75000.0,10.0,7063,2022-12-13
EMP057,Employee 57,IT Dept,Paris,60000.0,1.0,10549,2021-10-06
EMP058,Employee 58,IT Dept,Tokyo,90000.0,2.0,13211,2022-03-15
EMP059,Employee 59,IT Dept,Berlin,,5.0,9575,2020-07-05
EMP060,Employee 60,HR,Tokyo,,12.0,2667,2023-10-07
EMP061,Employee 61,HR,Paris,90000.0,5.0,6468,2020/01/07
EMP062,Employee 62,IT Dept,Paris,45000.0,2.0,11337,2025-10-12
EMP063,Employee 63,Sales,Tokyo,,7.0,8819,2020-01-13
EMP064,Employee 64,HR,Paris,60000.0,10.0,14377,2023-09-04
EMP065,Employee 65,IT Dept,Tokyo,,2.0,5719,2021-03-09
EMP066,Employee 66,Finance,London,130000.0,3.0,4745,2024-02-15
EMP067,Employee 67,IT Dept,Tokyo,,,9483,2023-06-02
EMP068,Employee 68,Sales,Tokyo,75000.0,5.0,2539,2020-12-19
EMP069,Employee 69,IT Dept,Paris,75000.0,3.0,12971,2021-09-05
EMP070,Employee 70,Sales,Paris,90000.0,2.0,6964,2025-04-26
EMP071,Employee 71,Marketing,New York,60000.0,,14328,2021/11/24
EMP072,Employee 72,IT Dept,New York,45000.0,,6835,2022-06-05
EMP073,Employee 73,IT Dept,London,150000.0,15.0,5775,2020-01-21
EMP074,Employee 74,Sales,New York,115000.0,12.0,8042,2025-05-06
EMP075,Employee 75,Marketing,Tokyo,130000.0,3.0,9102,2025-07-16
EMP076,Employee 76,Marketing,Paris,60000.0,15.0,9312,2023-11-24
EMP077,Employee 77,Marketing,New York,,7.0,7320,2020-07-03
EMP078,Employee 78,IT Dept,New York,60000.0,5.0,8132,2022-08-05
EMP079,Employee 79,HR,London,75000.0,5.0,9891,2023-08-06
EMP080,Employee 80,IT Dept,London,60000.0,,12700,2021-04-11
EMP081,Employee 81,Sales,Tokyo,115000.0,,4779,2023/06/22
EMP082,Employee 82,Finance,Paris,,5.0,2924,2020-08-06
EMP083,Employee 83,HR,London,150000.0,5.0,13148,2022-09-02
EMP084,Employee 84,IT Dept,New York,75000.0,1.0,3581,2022-08-26
EMP085,Employee 85,HR,Paris,115000.0,15.0,9714,2022-12-05
EMP086,Employee 86,HR,Paris,45000.0,10.0,5324,2025-10-22
EMP087,Employee 87,Marketing,New York,75000.0,,14677,2023-03-20
EMP088,Employee 88,Finance,London,90000.0,15.0,7713,2020-04-17
EMP089,Employee 89,Sales,New York,45000.0,15.0,9026,2023-01-26
EMP090,Employee 90,Finance,Paris,45000.0,15.0,2255,2025-06-05
EMP091,Employee 91,IT Dept,Berlin,150000.0,,6804,2025/11/04
EMP092,Employee 92,Marketing,Berlin,90000.0,10.0,3838,2024-11-03
EMP093,Employee 93,Marketing,Tokyo,,5.0,12136,2020-06-18
EMP094,Employee 94,Finance,New York,60000.0,7.0,2009,2021-05-23
EMP095,Employee 95,Marketing,New York,75000.0,15.0,4871,2021-12-02
EMP096,Employee 96,Finance,Tokyo,90000.0,7.0,10989,2024-08-02
EMP097,Employee 97,Finance,Tokyo,60000.0,12.0,9409,2023-01-05
