,employee_id,name,department,city,salary,experience,bonus,joining_date,total_compensation,salary_category,salary_quartile,rank_salary_department,department_average_salary,salary_gap
0,EMP001,Employee 1,HR,London,75000.0,2.0,6268,2023-01-05,81268.0,Low,Q2,5.0,80294.11764705883,-5294.117647058825
1,EMP002,Employee 2,Sales,Paris,45000.0,15.0,6748,2024-06-03,51748.0,Low,Q1,6.0,81875.0,-36875.0
2,EMP003,Employee 3,Marketing,New York,60000.0,1.0,6849,2024-07-05,66849.0,Low,Q1,4.0,79333.33333333333,-19333.33333333333
3,EMP004,Employee 4,Finance,New York,90000.0,6.780952380952381,11435,2024-05-10,101435.0,Medium,Q3,4.0,83863.63636363637,6136.363636363632
4,EMP005,Employee 5,IT,New York,90000.0,10.0,5709,2021-03-17,95709.0,Medium,Q3,4.0,80487.80487804877,9512.195121951227
5,EMP006,Employee 6,IT,New York,60000.0,10.0,11273,2024-09-14,71273.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
6,EMP007,Employee 7,IT,Tokyo,75000.0,3.0,8619,2020-03-13,83619.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
7,EMP008,Employee 8,Sales,New York,75000.0,3.0,10647,2024-04-01,85647.0,Low,Q2,4.0,81875.0,-6875.0
8,EMP009,Employee 9,Finance,Paris,90000.0,7.0,11086,2020-08-02,101086.0,Medium,Q3,4.0,83863.63636363637,6136.363636363632
9,EMP010,Employee 10,Marketing,Berlin,75000.0,6.780952380952381,11576,2023-08-07,86576.0,Low,Q2,3.0,79333.33333333333,-4333.3333333333285
10,EMP011,Employee 11,IT,New York,75000.0,15.0,12150,2021-10-02,87150.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
11,EMP012,Employee 12,Sales,Tokyo,150000.0,12.0,5072,2025-06-03,155072.0,High,Q4,1.0,81875.0,68125.0
12,EMP013,Employee 13,Sales,Tokyo,75000.0,2.0,8530,2022-02-12,83530.0,Low,Q2,4.0,81875.0,-6875.0
13,EMP014,Employee 14,IT,New York,130000.0,6.780952380952381,12188,2020-06-12,142188.0,High,Q4,2.0,80487.80487804877,49512.19512195123
14,EMP015,Employee 15,IT,Berlin,75000.0,15.0,14477,2024-11-25,89477.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
15,EMP016,Employee 16,IT,New York,60000.0,5.0,2504,2020-07-15,62504.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
16,EMP017,Employee 17,HR,Tokyo,90000.0,5.0,3214,2024-05-14,93214.0,Medium,Q3,4.0,80294.11764705883,9705.882352941175
17,EMP018,Employee 18,Finance,London,90000.0,7.0,3531,2021-11-19,93531.0,Medium,Q3,4.0,83863.63636363637,6136.363636363632
18,EMP019,Employee 19,HR,Paris,130000.0,5.0,13632,2025-12-02,143632.0,High,Q4,2.0,80294.11764705883,49705.882352941175
19,EMP020,Employee 20,IT,Tokyo,60000.0,15.0,9576,2025-02-02,69576.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
20,EMP021,Employee 21,Finance,New York,75000.0,15.0,2823,2021-11-19,77823.0,Low,Q2,5.0,83863.63636363637,-8863.636363636368
21,EMP022,Employee 22,IT,Paris,75000.0,6.780952380952381,2928,2021-04-25,77928.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
22,EMP023,Employee 23,IT,New York,115000.0,7.0,7029,2025-01-24,122029.0,Medium,Q4,3.0,80487.80487804877,34512.19512195123
23,EMP024,Employee 24,HR,New York,75000.0,10.0,2133,2023-07-10,77133.0,Low,Q2,5.0,80294.11764705883,-5294.117647058825
24,EMP025,Employee 25,Finance,London,150000.0,7.0,4105,2022-01-05,154105.0,High,Q4,1.0,83863.63636363637,66136.36363636363
25,EMP026,Employee 26,Marketing,Paris,75000.0,5.0,5627,2024-04-10,80627.0,Low,Q2,3.0,79333.33333333333,-4333.3333333333285
26,EMP027,Employee 27,IT,Paris,60000.0,1.0,14972,2020-10-17,74972.0,Low,Q1,6.0,80487.80487804877,-20487.804878048773
27,EMP028,Employee 28,Finance,London,130000.0,10.0,8316,2023-04-24,138316.0,High,Q4,2.0,83863.63636363637,46136.36363636363
28,EMP029,Employee 29,Finance,Tokyo,90000.0,12.0,3852,2024-02-06,93852.0,Medium,Q3,4.0,83863.63636363637,6136.363636363632
29,EMP030,Employee 30,IT,New York,150000.0,7.0,6910,2024-02-13,156910.0,High,Q4,1.0,80487.80487804877,69512.19512195123
30,EMP031,Employee 31,Finance,Berlin,60000.0,12.0,6175,2025-11-11,66175.0,Low,Q1,6.0,83863.63636363637,-23863.636363636368
31,EMP032,Employee 32,IT,New York,75000.0,7.0,13125,2022-03-15,88125.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
32,EMP033,Employee 33,IT,New York,75000.0,1.0,13476,2020-07-23,88476.0,Low,Q2,5.0,80487.80487804877,-5487.804878048773
