Employee ,Department , Date ,Salary ($),Sales Amount,Target, Skills
Aarav Shah,Sales,01-08-2026,"₹55,000",72000,65000,"Python; Excel; SQL"
Priya Mehta, sales ,2026/08/02,"₹62,000",68000,70000,"Excel; Power BI"
Rohan Patel,SALES,03-Aug-2026,"58000",91000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2026-08-04,"₹60,500",54000,60000,"SEO; Excel; Canva"
Vikram Joshi, marketing ,05/08/2026,"₹72,000",83000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,06-08-2026,"65000",61000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,2026/08/07,"₹68,500",79000,75000,"SQL; Python"
Anaya Patel,Sales,08-Aug-2026,,95000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2026-08-09,"₹57,000",64000,70000,"Excel; Power BI"
Riya Joshi, Marketing ,10/08/2026,"₹73,000",88000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,11-08-2026,"₹71,500",72000,76000,"SQL; Excel"
Meera Mehta,finance,2026/08/12,"₹66,000",85000,80000,"Python; Excel"
Aarav Shah, sales ,13-Aug-2026,"₹55,000",81000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,2026-08-14,"₹62,000",75000,70000,"Excel; Power BI"
Rohan Patel, sales,15/08/2026,"58000",102000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,16-08-2026,"₹60,500",59000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,2026/08/17,"₹72,000",91000,80000,"Python; SQL; Tableau"
Isha Shah, finance ,18-Aug-2026,"65000",67000,70000,"Excel; SQL; Finance"
Kabir Mehta,Finance,2026-08-19,"₹68,500",88000,75000,"SQL; Python"
Anaya Patel,SALES,20/08/2026,"₹64,000",110000,85000,"Python; Excel; SQL"
Dev Desai,Sales,21-08-2026,"₹57,000",71000,70000,"Excel; Power BI"
Riya Joshi,marketing,2026/08/22,"₹73,000",94000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,23-Aug-2026,"₹71,500",76000,76000,"SQL; Excel"
Meera Mehta,FINANCE,2026-08-24,"₹66,000",92000,80000,"Python; Excel"
Aarav Shah,Sales,25/08/2026,"₹55,000",87000,65000,"Python; Excel; SQL"
Priya Mehta,sales,26-08-2026,"₹62,000",69000,70000,"Excel; Power BI"
Rohan Patel,Sales,2026/08/27,"58000",115000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,28-Aug-2026,"₹60,500",63000,60000,"SEO; Excel; Canva"
Vikram Joshi, marketing ,2026-08-29,"₹72,000",97000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,30/08/2026,"65000",73000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,31-08-2026,"₹68,500",96000,75000,"SQL; Python"
Anaya Patel,Sales,2026/09/01,"₹64,000",121000,85000,"Python; Excel; SQL"
Dev Desai, sales ,02-Sep-2026,"₹57,000",76000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2026-09-03,"₹73,000",101000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,04/09/2026,"₹71,500",81000,76000,"SQL; Excel"
Meera Mehta,finance,05-Sep-2026,"₹66,000",99000,80000,"Python; Excel"
Aarav Shah,SALES,2026-09-06,"₹55,000",93000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,07/09/2026,"₹62,000",78000,70000,"Excel; Power BI"
Rohan Patel, sales ,08-Sep-2026,"58000",132000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2026/09/09,"₹60,500",67000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,10-09-2026,"₹72,000",108000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,2026-09-11,"65000",79000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,12/09/2026,"₹68,500",104000,75000,"SQL; Python"
Anaya Patel,Sales,13-Sep-2026,"₹64,000",128000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2026-09-14,"₹57,000",82000,70000,"Excel; Power BI"
Riya Joshi, marketing ,15/09/2026,"₹73,000",112000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,16-Sep-2026,"₹71,500",85000,76000,"SQL; Excel"
Meera Mehta,Finance,2026/09/17,"₹66,000",107000,80000,"Python; Excel"
Aarav Shah,Sales,18-09-2026,"₹55,000",98000,65000,"Python; Excel; SQL"
Priya Mehta,sales,2026-09-19,"₹62,000",81000,70000,"Excel; Power BI"
Rohan Patel,SALES,20/09/2026,"58000",145000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,21-Sep-2026,"₹60,500",71000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,2026-09-22,"₹72,000",115000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,23/09/2026,"65000",84000,70000,"Excel; SQL; Finance"
Kabir Mehta,Finance,24-Sep-2026,"₹68,500",111000,75000,"SQL; Python"
Anaya Patel,Sales,2026-09-25,"₹64,000",137000,85000,"Python; Excel; SQL"
Dev Desai,Sales,26/09/2026,"₹57,000",88000,70000,"Excel; Power BI"
Riya Joshi,Marketing,27-Sep-2026,"₹73,000",119000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,2026/09/28,"₹71,500",89000,76000,"SQL; Excel"
Meera Mehta,FINANCE,29/09/2026,"₹66,000",114000,80000,"Python; Excel"
Aarav Shah,Sales,30-Sep-2026,"₹55,000",101000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,2026-10-01,"₹62,000",85000,70000,"Excel; Power BI"
Rohan Patel,sales,02/10/2026,"58000",158000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,03-Oct-2026,"₹60,500",74000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,2026-10-04,"₹72,000",121000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,05/10/2026,"65000",87000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,06-Oct-2026,"₹68,500",118000,75000,"SQL; Python"
