Transaction_ID, DATE ,EMP_NAME,dept_name,Revenue_Amount,Units_Sold
27771,2024-02-23,Charlie Brown,Sports,250.0,13
68596,2025-02-17,Diana Prince,Clothing,10.5,12
41598,2024-09-15,Alice Smith,Sports,250.0,3
49986,2025-08-31,Evan Wright,Sports,10.5,5
97062,2024-05-10,Charlie Brown,Sports,100.25,8
43397,2024-12-15,Diana Prince,Clothing,100.25,2
65106,2024-07-21,Charlie Brown,Home & Kitchen,10.5,13
90688,2024-06-16,Diana Prince,Clothing,250.0,7
73731,2024-06-08,Alice Smith,Clothing,500.75,7
19903,2024-07-04,Charlie Brown,Electronics,-999.0,14
80831,2025-11-23,Evan Wright,Clothing,250.0,6
43997,2025-07-03,Alice Smith,Home & Kitchen,10.5,10
22112,2024-09-12,Alice Smith,Clothing,100.25,4
68053,2024-12-07,Alice Smith,Sports,250.0,1
27778,2025-06-20,Bob Jones,Home & Kitchen,250.0,4
88301,2024-04-20,Diana Prince,Clothing,50.0,14
19077,2024-08-16,Alice Smith,Home & Kitchen,500.75,2
95530,N/A,Diana Prince,Electronics,500.75,14
92565,2024-12-30,Diana Prince,Beauty,100.25,7
34917,2025-03-31,Diana Prince,Home & Kitchen,50.0,6
86961,2024-04-28,Bob Jones,Clothing,,5
13756,2024-02-10,Diana Prince,Home & Kitchen,500.75,5
27368,2025-01-13,Bob Jones,Clothing,100.25,2
29129,2025-08-10,Bob Jones,Electronics,50.0,12
56828,2024-10-09,Charlie Brown,Sports,100.25,3
29956,2025-05-20,Alice Smith,Home & Kitchen,10.5,4
43662,2025-06-07,Alice Smith,Electronics,100.25,5
73374,2025-07-17,Charlie Brown,Home & Kitchen,250.0,11
96213,2024-05-19,Evan Wright,Home & Kitchen,10.5,5
79626,2024-11-16,Alice Smith,Beauty,10.5,2
79346,2024-12-06,Bob Jones,Electronics,10.5,10
93691,2025-03-17,Bob Jones,Sports,250.0,4
16737,2025-08-26,Evan Wright,Home & Kitchen,250.0,14
30662,2024-09-28,Diana Prince,Sports,50.0,12
32431,2025-06-25,Diana Prince,Clothing,250.0,13
73620,2025-10-09,Charlie Brown,Beauty,50.0,5
97272,2024-07-08,Alice Smith,Clothing,500.75,2
17657,2025-06-08,Bob Jones,Electronics,50.0,10
84553,2024-12-07,Diana Prince,Home & Kitchen,50.0,14
39430,2025-03-28,Charlie Brown,Home & Kitchen,500.75,3
34519,2025-03-30,Charlie Brown,Electronics,500.75,10
47641,2024-09-20,Diana Prince,Beauty,100.25,5
90199,2025-07-22,Diana Prince,Clothing,500.75,14
45954,2024-08-14,Charlie Brown,Sports,500.75,10
43320,2024-04-02,Evan Wright,Electronics,100.25,1
70535,2025-05-25,Evan Wright,Sports,50.0,9
97127,2025-10-21,Evan Wright,Home & Kitchen,50.0,3
96143,2025-02-23,Bob Jones,Beauty,50.0,12
33821,2025-06-15,Evan Wright,Beauty,50.0,13
15626,2024-01-10,Alice Smith,Home & Kitchen,10.5,3
80981,2024-12-26,Alice Smith,Sports,500.75,6
21694,2025-04-29,Evan Wright,Home & Kitchen,50.0,12
45367,2024-04-08,Evan Wright,Home & Kitchen,50.0,1
70500,2024-10-24,Diana Prince,Clothing,250.0,8
63002,2024-02-15,Evan Wright,Home & Kitchen,250.0,6
54547,2024-03-16,Bob Jones,Home & Kitchen,250.0,6
77278,2024-07-12,Diana Prince,Clothing,500.75,6
63268,2025-07-11,Charlie Brown,Sports,50.0,13
17491,2024-06-21,Charlie Brown,Home & Kitchen,50.0,12
80342,2025-07-25,Alice Smith,Clothing,50.0,9
80480,2025-09-24,Alice Smith,Electronics,100.25,8
51914,2024-01-28,Diana Prince,Clothing,50.0,9
10338,2025-10-26,Diana Prince,Home & Kitchen,500.75,10
53585,N/A,Bob Jones,Beauty,250.0,3
46244,2024-07-25,Charlie Brown,Clothing,-999.0,10
22175,2024-05-27,Diana Prince,Clothing,250.0,5
48890,N/A,Diana Prince,Home & Kitchen,10.5,5
44701,2025-03-20,Bob Jones,Home & Kitchen,500.75,9
21485,2024-01-02,Evan Wright,Sports,100.25,10
41653,2024-07-13,Evan Wright,Clothing,250.0,6
67056,2025-01-28,Alice Smith,Sports,100.25,11
11239,2025-11-03,Alice Smith,Beauty,50.0,14
62307,2024-02-10,Alice Smith,Clothing,10.5,4
76504,2024-11-21,Alice Smith,Beauty,10.5,5
36685,2024-09-29,Bob Jones,Sports,250.0,12
39009,2024-11-01,Bob Jones,Beauty,10.5,12
37856,2024-04-21,Diana Prince,Clothing,100.25,1
11925,2024-07-13,Bob Jones,Electronics,250.0,4
94056,2025-05-25,Charlie Brown,Clothing,10.5,10
36660,2025-02-12,Alice Smith,Electronics,50.0,10
11759,2024-08-21,Diana Prince,Home & Kitchen,50.0,13
10281,2024-04-27,Evan Wright,Sports,500.75,4
10235,2025-09-06,Alice Smith,Sports,250.0,14
48197,2025-05-15,Bob Jones,Electronics,50.0,11
31172,2025-05-26,Charlie Brown,Electronics,100.25,12
73416,2025-12-09,Charlie Brown,Sports,,8
87475,2024-08-20,Diana Prince,Sports,500.75,2
44531,2025-03-21,Charlie Brown,Home & Kitchen,500.75,12
58543,2025-04-18,Bob Jones,Beauty,50.0,13
14853,2024-06-29,Evan Wright,Electronics,50.0,5
90435,2025-08-24,Charlie Brown,Beauty,500.75,5
41585,2025-09-22,Alice Smith,Home & Kitchen,50.0,6
83609,2024-07-21,Alice Smith,Home & Kitchen,100.25,7
84319,2024-11-03,Bob Jones,Sports,500.75,4
71120,2024-07-10,Bob Jones,Sports,100.25,4
65176,2025-12-26,Alice Smith,Clothing,100.25,2
51874,2024-12-11,Evan Wright,Sports,-999.0,12
61195,2024-07-25,Alice Smith,Sports,250.0,13
57517,2025-01-21,Diana Prince,Beauty,100.25,12
34826,2025-04-10,Alice Smith,Home & Kitchen,100.25,6
49443,2024-01-03,Evan Wright,Home & Kitchen,100.25,7
22182,2025-09-11,Charlie Brown,Sports,250.0,1
49711,2025-11-17,Charlie Brown,Clothing,10.5,6
65168,2024-08-12,Diana Prince,Clothing,10.5,9
46455,2024-01-14,Charlie Brown,Sports,100.25,10
52460,2025-03-17,Alice Smith,Sports,100.25,13
42196,2025-03-25,Bob Jones,Electronics,10.5,11
96123,2025-06-21,Diana Prince,Beauty,250.0,7
54623,2024-02-20,Evan Wright,Clothing,,10
12356,2024-01-26,Alice Smith,Electronics,100.25,9
42413,2025-01-14,Charlie Brown,Home & Kitchen,250.0,7
43742,2024-05-30,Alice Smith,Home & Kitchen,250.0,11
36614,2024-09-27,Evan Wright,Beauty,100.25,5
51832,2025-05-06,Evan Wright,Electronics,50.0,6
26241,2025-01-11,Evan Wright,Beauty,50.0,8
35150,2025-06-08,Bob Jones,Sports,250.0,5
77444,2025-04-11,Bob Jones,Clothing,100.25,4
86898,2025-10-25,Bob Jones,Electronics,10.5,4
24060,2025-04-19,Evan Wright,Home & Kitchen,10.5,8
37788,2024-08-05,Bob Jones,Sports,50.0,1
86260,2025-07-12,Diana Prince,Clothing,10.5,2
39757,2025-05-13,Charlie Brown,Sports,50.0,2
98801,2025-05-20,Diana Prince,Electronics,10.5,3
93559,2024-04-13,Diana Prince,Beauty,50.0,4
91941,2025-10-06,Diana Prince,Beauty,100.25,6
59786,2024-10-07,Charlie Brown,Home & Kitchen,250.0,6
55350,2024-03-26,Charlie Brown,Clothing,50.0,3
95708,N/A,Evan Wright,Home & Kitchen,250.0,9
19078,N/A,Charlie Brown,Clothing,,7
90559,2025-10-31,Evan Wright,Beauty,500.75,4
41987,N/A,Charlie Brown,Electronics,100.25,6
11341,2025-12-27,Evan Wright,Sports,10.5,5
47219,2024-07-19,Alice Smith,Beauty,10.5,11
46062,2024-02-27,Charlie Brown,Clothing,50.0,8
23224,2025-06-24,Charlie Brown,Electronics,50.0,12
31427,2025-06-09,Charlie Brown,Sports,50.0,14
81260,2025-08-29,Diana Prince,Beauty,500.75,6
91061,2024-02-22,Charlie Brown,Beauty,500.75,7
84859,2024-10-11,Charlie Brown,Clothing,100.25,5
76435,2025-06-17,Alice Smith,Clothing,50.0,7
21954,2025-07-16,Diana Prince,Home & Kitchen,10.5,5
51235,2025-05-25,Evan Wright,Clothing,250.0,11
46220,2024-05-23,Alice Smith,Beauty,100.25,7
16150,2025-10-02,Evan Wright,Home & Kitchen,50.0,12
22676,2024-09-14,Charlie Brown,Electronics,500.75,7
50998,2025-03-22,Alice Smith,Sports,100.25,7
23760,2025-10-23,Diana Prince,Sports,100.25,2
85993,2025-11-05,Charlie Brown,Beauty,-999.0,4
89671,2025-07-27,Charlie Brown,Beauty,100.25,13
85629,2025-11-14,Alice Smith,Clothing,50.0,12
70461,2024-02-08,Evan Wright,Electronics,100.25,8
66133,2024-10-03,Alice Smith,Electronics,50.0,1
12717,N/A,Bob Jones,Sports,100.25,1
85713,2025-12-14,Diana Prince,Beauty,10.5,7
10956,2025-10-27,Alice Smith,Clothing,500.75,10
85916,2025-02-22,Charlie Brown,Sports,50.0,10
34442,2025-01-08,Evan Wright,Sports,50.0,13
82258,2024-05-23,Bob Jones,Sports,10.5,4
63625,2025-04-02,Bob Jones,Electronics,500.75,4
60460,2025-07-25,Alice Smith,Home & Kitchen,500.75,4
67492,2025-04-21,Bob Jones,Home & Kitchen,250.0,1
28639,2024-08-04,Diana Prince,Sports,,4
