transaction_id,name,department,revenue,units_sold,unit_sold_average_by_department,department_revenue_rank,units_category,quantile_revenue,3days_rolling_average_revenue,previous_revenue,revenue_%,month_name,sales,quarterly,monthly_growth%
27771,Charlie Brown,Sports,250.0,13,7.402777777777778,2.0,High,Q4,250.0,,,February,3250.0,1,
68596,Diana Prince,Clothing,10.5,12,7.6767676767676765,6.0,High,Q1,130.25,250.0,,February,126.0,1,4.2
41598,Alice Smith,Sports,250.0,3,7.402777777777778,2.0,Low,Q4,170.16666666666666,10.5,345.8,September,750.0,3,2380.952380952381
49986,Evan Wright,Sports,10.5,5,7.402777777777778,6.0,Low,Q1,90.33333333333333,250.0,-2270.452380952381,August,52.5,3,4.2
97062,Charlie Brown,Sports,100.25,8,7.402777777777778,4.0,Mideum,Q3,120.25,10.5,196.05,May,802.0,2,954.7619047619047
43397,Diana Prince,Clothing,100.25,2,7.6767676767676765,4.0,Low,Q3,70.33333333333333,100.25,-754.5119047619047,December,200.5,4,100.0
65106,Charlie Brown,Home & Kitchen,10.5,13,7.509708737864078,6.0,High,Q1,70.33333333333333,100.25,10.5,July,136.5,3,10.473815461346634
90688,Diana Prince,Clothing,250.0,7,7.6767676767676765,2.0,Mideum,Q4,120.25,10.5,339.52618453865335,June,1750.0,2,2380.952380952381
73731,Alice Smith,Clothing,500.75,7,7.6767676767676765,1.0,Mideum,Q5,253.75,250.0,-1780.2023809523812,June,3505.25,2,200.3
19903,Charlie Brown,Electronics,-999.0,14,7.373626373626373,7.0,High,Q1,-82.75,500.75,-1099.3,July,-13986.0,3,-199.50074887668495
80831,Evan Wright,Clothing,250.0,6,7.6767676767676765,2.0,Mideum,Q4,-82.75,-999.0,549.500748876685,November,1500.0,4,-25.025025025025027
43997,Alice Smith,Home & Kitchen,10.5,10,7.509708737864078,6.0,Mideum,Q1,-246.16666666666666,250.0,135.525025025025,July,105.0,3,4.2
22112,Alice Smith,Clothing,100.25,4,7.6767676767676765,4.0,Low,Q3,120.25,10.5,196.05,September,401.0,3,954.7619047619047
68053,Alice Smith,Sports,250.0,1,7.402777777777778,2.0,Low,Q4,120.25,100.25,-604.7619047619047,December,250.0,4,249.37655860349128
27778,Bob Jones,Home & Kitchen,250.0,4,7.509708737864078,2.0,Low,Q4,200.08333333333334,250.0,100.62344139650872,June,1000.0,2,100.0
88301,Diana Prince,Clothing,50.0,14,7.6767676767676765,5.0,High,Q2,183.33333333333334,250.0,50.0,April,700.0,2,20.0
19077,Alice Smith,Home & Kitchen,500.75,2,7.509708737864078,1.0,Low,Q5,266.9166666666667,50.0,580.75,August,1001.5,3,1001.5
95530,Diana Prince,Electronics,500.75,14,7.373626373626373,1.0,High,Q5,350.5,500.75,-400.75,December,7010.5,4,100.0
92565,Diana Prince,Beauty,100.25,7,7.186868686868687,4.0,Mideum,Q3,367.25,500.75,100.25,December,701.75,4,20.0199700449326
34917,Diana Prince,Home & Kitchen,50.0,6,7.509708737864078,5.0,Mideum,Q2,217.0,100.25,129.98002995506738,March,300.0,1,49.87531172069826
86961,Bob Jones,Clothing,142.93479355488418,5,7.6767676767676765,3.0,Low,Q4,97.72826451829474,50.0,193.05948183418593,April,714.6739677744209,2,285.86958710976836
13756,Diana Prince,Home & Kitchen,500.75,5,7.509708737864078,1.0,Low,Q5,231.22826451829474,142.93479355488418,314.88041289023164,February,2503.75,1,350.3345739312393
27368,Bob Jones,Clothing,100.25,2,7.6767676767676765,4.0,Low,Q3,247.97826451829474,500.75,-150.0845739312393,January,200.5,1,20.0199700449326
29129,Bob Jones,Electronics,50.0,12,7.373626373626373,5.0,High,Q2,217.0,100.25,129.98002995506738,August,600.0,3,49.87531172069826
56828,Charlie Brown,Sports,100.25,3,7.402777777777778,4.0,Low,Q3,83.5,50.0,150.37468827930175,October,300.75,4,200.5
29956,Alice Smith,Home & Kitchen,10.5,4,7.509708737864078,6.0,Low,Q1,53.583333333333336,100.25,-89.99999999999999,May,42.0,2,10.473815461346634
43662,Alice Smith,Electronics,100.25,5,7.373626373626373,4.0,Low,Q3,70.33333333333333,10.5,189.77618453865335,June,501.25,2,954.7619047619047
73374,Charlie Brown,Home & Kitchen,250.0,11,7.509708737864078,2.0,High,Q4,120.25,100.25,-604.7619047619047,July,2750.0,3,249.37655860349128
96213,Evan Wright,Home & Kitchen,10.5,5,7.509708737864078,6.0,Low,Q1,120.25,250.0,-138.87655860349128,May,52.5,2,4.2
79626,Alice Smith,Beauty,10.5,2,7.186868686868687,6.0,Low,Q1,90.33333333333333,10.5,106.3,November,21.0,4,100.0
79346,Bob Jones,Electronics,10.5,10,7.373626373626373,6.0,Mideum,Q1,10.5,10.5,10.5,December,105.0,4,100.0
93691,Bob Jones,Sports,250.0,4,7.402777777777778,2.0,Low,Q4,90.33333333333333,10.5,250.0,March,1000.0,1,2380.952380952381
16737,Evan Wright,Home & Kitchen,250.0,14,7.509708737864078,2.0,High,Q4,170.16666666666666,250.0,-2030.9523809523812,August,3500.0,3,100.0
30662,Diana Prince,Sports,50.0,12,7.402777777777778,5.0,High,Q2,183.33333333333334,250.0,50.0,September,600.0,3,20.0
32431,Diana Prince,Clothing,250.0,13,7.6767676767676765,2.0,High,Q4,183.33333333333334,50.0,330.0,June,3250.0,2,500.0
73620,Charlie Brown,Beauty,50.0,5,7.186868686868687,5.0,Low,Q2,116.66666666666667,250.0,-350.0,October,250.0,4,20.0
97272,Alice Smith,Clothing,500.75,2,7.6767676767676765,1.0,Low,Q5,266.9166666666667,50.0,580.75,July,1001.5,3,1001.5
17657,Bob Jones,Electronics,50.0,10,7.373626373626373,5.0,Mideum,Q2,200.25,500.75,-851.5,June,500.0,2,9.98502246630055
84553,Diana Prince,Home & Kitchen,50.0,14,7.509708737864078,5.0,High,Q2,200.25,50.0,140.01497753369944,December,700.0,4,100.0
39430,Charlie Brown,Home & Kitchen,500.75,3,7.509708737864078,1.0,Low,Q5,200.25,50.0,500.75,March,1502.25,1,1001.5
34519,Charlie Brown,Electronics,500.75,10,7.373626373626373,1.0,Mideum,Q5,350.5,500.75,-400.75,March,5007.5,1,100.0
47641,Diana Prince,Beauty,100.25,5,7.186868686868687,4.0,Low,Q3,367.25,500.75,100.25,September,501.25,3,20.0199700449326
90199,Diana Prince,Clothing,500.75,14,7.6767676767676765,1.0,High,Q5,367.25,100.25,580.7300299550674,July,7010.5,3,499.501246882793
45954,Charlie Brown,Sports,500.75,10,7.402777777777778,1.0,Mideum,Q5,367.25,500.75,101.248753117207,August,5007.5,3,100.0
43320,Evan Wright,Electronics,100.25,1,7.373626373626373,4.0,Low,Q3,367.25,500.75,100.25,April,100.25,2,20.0199700449326
70535,Evan Wright,Sports,50.0,9,7.402777777777778,5.0,Mideum,Q2,217.0,100.25,129.98002995506738,May,450.0,2,49.87531172069826
97127,Evan Wright,Home & Kitchen,50.0,3,7.509708737864078,5.0,Low,Q2,66.75,50.0,100.12468827930175,October,150.0,4,100.0
96143,Bob Jones,Beauty,50.0,12,7.186868686868687,5.0,High,Q2,50.0,50.0,50.0,February,600.0,1,100.0
33821,Evan Wright,Beauty,50.0,13,7.186868686868687,5.0,High,Q2,50.0,50.0,50.0,June,650.0,2,100.0
15626,Alice Smith,Home & Kitchen,10.5,3,7.509708737864078,6.0,Low,Q1,36.833333333333336,50.0,10.5,January,31.5,1,21.0
80981,Alice Smith,Sports,500.75,6,7.402777777777778,1.0,Mideum,Q5,187.08333333333334,10.5,579.75,December,3004.5,4,4769.047619047619
21694,Evan Wright,Home & Kitchen,50.0,12,7.509708737864078,5.0,High,Q2,187.08333333333334,500.75,-4619.047619047619,April,600.0,2,9.98502246630055
45367,Evan Wright,Home & Kitchen,50.0,1,7.509708737864078,5.0,Low,Q2,200.25,50.0,140.01497753369944,April,50.0,2,100.0
70500,Diana Prince,Clothing,250.0,8,7.6767676767676765,2.0,Mideum,Q4,116.66666666666667,50.0,250.0,October,2000.0,4,500.0
63002,Evan Wright,Home & Kitchen,250.0,6,7.509708737864078,2.0,Mideum,Q4,183.33333333333334,250.0,-150.0,February,1500.0,1,100.0
54547,Bob Jones,Home & Kitchen,250.0,6,7.509708737864078,2.0,Mideum,Q4,250.0,250.0,250.0,March,1500.0,1,100.0
77278,Diana Prince,Clothing,500.75,6,7.6767676767676765,1.0,Mideum,Q5,333.5833333333333,250.0,500.75,July,3004.5,3,200.3
