,name,department,city,joining_date,sales,previous_sales,salary,d_average_sales,salary_category,quantile_salary,city_wise_sales_rank,7days_sales_rolling_average,next_sales,different_sales,sales_growth%
0, Alice Smith ,Sales,New York,2026-01-01,25795.0,23215.5,112995.0,29082.0,High,Q4,5.0,25795.0,10860.0,-2579.5,
1,Bob Jones,Engineering,San Francisco,2026-01-02,10860.0,11946.0,100757.0,27485.571428571428,High,Q3,6.0,18327.5,48158.0,1086.0,-57.89881760031014
2, Charlie Brown,Marketing,Chicago,2026-01-03,48158.0,43342.2,69692.0,33574.166666666664,Low,Q1,2.0,28271.0,21284.0,-4815.800000000003,343.4438305709024
3,Diana Prince ,HR,Boston,2026-01-04,21284.0,23412.4,105758.0,30357.666666666668,High,Q4,5.0,26524.25,30590.766666666666,2128.4000000000015,-55.80381245068317
4,Evan Wright,Finance,Austin,2026-01-05,30590.766666666666,17891.5,66873.0,33519.794444444444,Low,Q1,4.0,27337.553333333333,26850.0,-12699.266666666666,43.72658648123786
5,Fiona Gallagher,Engineering,New York,2026-01-06,26850.0,24165.0,65675.0,27485.571428571428,Low,Q1,4.0,27256.294444444444,47194.0,-2685.0,-12.228417507243472
6, George Clark,Engineering,San Francisco,2026-01-07,47194.0,42474.6,60161.0,27485.571428571428,Low,Q1,2.0,30104.538095238095,31962.0,-4719.4000000000015,75.76908752327746
7,Hannah Abbott,Marketing,Chicago,2026-01-08,31962.0,35158.2,97065.0,33574.166666666664,Mideum,Q3,4.0,30985.538095238095,26023.0,3196.199999999997,-32.275289231681995
8,Ian Malcolm,HR,Boston,2026-01-09,26023.0,26023.0,86557.0,30357.666666666668,Mideum,Q2,4.0,33151.68095238095,11685.0,0.0,-18.581440460546894
9,Julia Roberts ,Finance,Austin,2026-01-10,11685.0,10516.5,93763.0,33519.794444444444,Mideum,Q3,6.0,27941.25238095238,10769.0,-1168.5,-55.097413826230635
10, Alice Smith ,Sales,New York,2026-01-11,10769.0,10769.0,87842.0,29082.0,Mideum,Q3,6.0,26439.109523809522,12433.0,0.0,-7.839109970047065
11,Bob Jones,Engineering,San Francisco,2026-01-12,12433.0,12433.0,71534.0,27485.571428571428,Low,Q1,5.0,23845.14285714286,15311.0,0.0,15.451759680564582
12,Bob Jones,Marketing,Chicago,2026-01-13,15311.0,15311.0,89127.0,33574.166666666664,Mideum,Q3,6.0,22196.714285714286,47819.0,0.0,23.14807367489744
13,Diana Prince ,HR,Boston,2026-01-14,47819.0,43037.1,100397.0,30357.666666666668,High,Q3,1.0,22286.0,49188.0,-4781.9000000000015,212.3179413493567
14,Evan Wright,Finance,Austin,2026-01-15,49188.0,49188.0,85851.0,33519.794444444444,Mideum,Q2,1.0,24746.85714285714,27568.0,0.0,2.8628787720362148
15,Fiona Gallagher,Sales,New York,2026-01-16,27568.0,24811.2,61016.0,29082.0,Low,Q1,3.0,24967.571428571428,29769.0,-2756.7999999999993,-43.95380987232659
16, George Clark,Engineering,San Francisco,2026-01-17,29769.0,29769.0,84253.0,27485.571428571428,Mideum,Q2,3.0,27551.0,38693.0,0.0,7.9838943702843945
17,Hannah Abbott,Marketing,Chicago,2026-01-18,38693.0,42562.3,115591.0,33574.166666666664,High,Q4,3.0,31540.14285714286,16396.0,3869.300000000003,29.977493365581644
18,Ian Malcolm,HR,Boston,2026-01-19,16396.0,18035.6,84276.0,30357.666666666668,Mideum,Q2,6.0,32106.285714285714,37480.0,1639.5999999999985,-57.625410280929366
19,Julia Roberts ,Finance,Austin,2026-01-20,37480.0,33732.0,83247.0,33519.794444444444,Mideum,Q1,3.0,35273.28571428572,35658.0,-3748.0,128.59233959502316
20, Alice Smith ,Sales,New York,2026-01-21,35658.0,39223.8,84300.0,29082.0,Mideum,Q2,2.0,33536.0,17621.0,3565.800000000003,-4.861259338313772
21,Bob Jones,Engineering,San Francisco,2026-01-22,17621.0,19383.1,64386.0,27485.571428571428,Low,Q1,4.0,29026.428571428572,17805.0,1762.0999999999985,-50.5833193112345
22,Charlie Brown,Marketing,Chicago,2026-01-23,17805.0,17805.0,101886.0,33574.166666666664,High,Q4,5.0,27631.714285714286,37485.0,0.0,1.044208614721076
23,Diana Prince ,HR,Boston,2026-01-24,37485.0,37485.0,85966.0,30357.666666666668,Mideum,Q2,2.0,28734.0,23354.0,0.0,110.530749789385
24,Evan Wright,Finance,Austin,2026-01-25,23354.0,21018.6,83709.0,33519.794444444444,Mideum,Q2,5.0,26542.714285714286,45620.0,-2335.4000000000015,-37.69774576497266
25,Fiona Gallagher,Sales,New York,2026-01-26,45620.0,50182.0,119330.0,29082.0,High,Q4,1.0,30717.571428571428,47672.0,4562.0,95.34126916159973
26, George Clark,Engineering,San Francisco,2026-01-27,47672.0,42904.8,114343.0,27485.571428571428,High,Q4,1.0,32173.571428571428,49516.0,-4767.199999999997,4.498027181060937
27,Hannah Abbott,Marketing,Chicago,2026-01-28,49516.0,44564.4,106735.0,33574.166666666664,High,Q4,1.0,34153.28571428572,33139.0,-4951.5999999999985,3.8680986742742007
28,Ian Malcolm,HR,Boston,2026-01-29,33139.0,36452.9,94980.0,30357.666666666668,Mideum,Q3,3.0,36370.142857142855,48821.0,3313.9000000000015,-33.07415784796833
29,Julia Roberts ,Finance,Austin,2026-01-30,48821.0,48821.0,119022.0,33519.794444444444,High,Q4,2.0,40801.0,,0.0,47.32188659887142
