Employee_ID,Full Name ,Department,City,Joining_Date
101,Alice Smith,HR,New York,2021-01-15
102,Bob Jones,Engineering,San Francisco,2020-05-22
103,Charlie Brown,Engineering,New York,2022-08-11
104,Diana Prince,Sales,Chicago,2019-11-01
105,Evan Wright,HR,San Francisco,2023-02-28
106,Fiona Gallagher,Sales,Chicago,2021-07-19
107,George Clark,Engineering,New York,2020-10-05
108,Hannah Abbott,Finance,Chicago,2018-04-12
109,Ian Malcolm,Finance,San Francisco,2022-12-01
110,Julia Roberts,Sales,New York,2021-03-14
103,Charlie Brown,Engineering,New York,2022-08-11
