OrderID,Customer,Category,Product,PaymentMode,Quantity,Price,City
1001,Alice,Electronics,Laptop,Card,1,65000,Delhi
1002,Bob,Clothing,T-Shirt,Cash,2,1200,Mumbai
1003,Charlie,Groceries,Rice,UPI,5,3000,Pune
1004,Diana,Electronics,Headphones,Card,2,4000,Delhi
1005,Ethan,Clothing,Jeans,Cash,1,2500,Ahmedabad
1006,Fiona,Groceries,Milk,UPI,10,600,Surat
1007,George,Electronics,Mobile,Card,1,35000,Jaipur
1008,Hannah,Clothing,Jacket,UPI,1,,Mumbai
1009,Ian,Groceries,Wheat,Cash,3,1800,Pune
1010,Julia,Electronics,Tablet,Card,2,22000,Delhi
1011,Kevin,Clothing,Shoes,Card,1,3500,Ahmedabad
1012,Laura,Groceries,Sugar,UPI,4,1800,Surat
1013,Michael,Electronics,Smartwatch,Cash,1,12000,Jaipur
1014,Nina,Clothing,Dress,Card,2,5000,Mumbai
1015,Oscar,Groceries,Oil,Cash,2,,Pune
1016,Paul,Electronics,Laptop,Card,1,65000,Delhi
1016,Paul,Electronics,Laptop,Card,1,65000,Delhi
1017,Queen,Clothing,T-Shirt,UPI,3,1800,Ahmedabad
1018,Raj,Groceries,Tea,Cash,5,1500,Surat
1019,Sneha,Electronics,Camera,Card,1,45000,Delhi
1020,Tom,Clothing,Jeans,,2,5000,Jaipur
