,EmpID,Name,Department,City,Age,Gender,Salary,Performance,Bonus,Tax,Net Salary,Experience Bonus,Final Salary,Salary Category,Performance Grade
0,E101,Rahul Shah,IT,Ahmedabad,24.0,M,50000.0,5,5000.0,2500.0,57500.0,2000,59500.0,Normal,Excellent
1,E102,Neha Patel,HR,Surat,29.0,F,62000.0,4,6200.0,3100.0,71300.0,5000,76300.0,Normal,Very Good
2,E103,Amit Patel,Finance,Ahmedabad,27.23076923076923,M,63000.0,3,6300.0,3150.0,72450.0,5000,77450.0,Normal,Good
3,E104,Priya Shah,Sales,Rajkot,31.0,F,72000.0,5,7200.0,3600.0,82800.0,5000,87800.0,High,Excellent
4,E105,Manthan Patel,IT,Ahmedabad,22.0,M,58000.0,2,5800.0,2900.0,66700.0,2000,68700.0,Normal,Average
5,E106,Karan Mehta,Marketing,Surat,27.0,M,64000.0,4,6400.0,3200.0,73600.0,5000,78600.0,Normal,Very Good
6,E107,Riya Patel,HR,Vadodara,27.23076923076923,F,55000.0,3,5500.0,2750.0,63250.0,5000,68250.0,Normal,Good
7,E108,Sneha Shah,Finance,Ahmedabad,30.0,F,63000.0,5,6300.0,3150.0,72450.0,5000,77450.0,Normal,Excellent
8,E109,Vikas Patel,Sales,Rajkot,28.0,M,68000.0,4,6800.0,3400.0,78200.0,5000,83200.0,High,Very Good
9,E110,Aastha Patel,IT,Ahmedabad,25.0,F,61000.0,5,6100.0,3050.0,70150.0,5000,75150.0,Normal,Excellent
10,E111,Jay Shah,Marketing,Surat,32.0,M,66000.0,3,6600.0,3300.0,75900.0,5000,80900.0,High,Good
11,E112,Khushbu Shah,HR,Ahmedabad,26.0,F,57000.0,4,5700.0,2850.0,65550.0,5000,70550.0,Normal,Very Good
12,E113,Harsh Patel,Finance,Unknown,29.0,M,69000.0,5,6900.0,3450.0,79350.0,5000,84350.0,High,Excellent
13,E114,Tirth Dabhi,IT,Rajkot,27.0,M,65000.0,2,6500.0,3250.0,74750.0,5000,79750.0,Normal,Average
14,E115,Shukan Soni,Sales,Vadodara,24.0,F,63000.0,4,6300.0,3150.0,72450.0,2000,74450.0,Normal,Very Good
