Student_ID,Name,Age,Math,Science,English,Attendance
101,Alice,18,88,91,85,95
102,Bob,19,76,,79,88
103,Charlie,17,92,89,,97
104,David,18,,75,81,90
105,Eva,20,67,70,73,
106,Frank,19,81,84,80,92
107,Grace,18,95,98,96,99
108,Henry,17,58,62,65,85
109,Ivy,20,,88,90,94
110,Jack,18,73,77,,89
111,Karen,19,85,,87,91
112,Liam,17,90,93,92,98
113,Mia,18,78,80,82,
114,Noah,20,69,74,71,87
115,Olivia,19,,95,94,96
116,Peter,18,82,81,83,93
117,Quinn,17,60,,68,84
118,Rachel,20,91,90,89,97
119,Sam,18,74,76,75,
120,Tina,19,87,85,,95
